FACILITY,LAT,LON,TYPE,SPECIES,CITY,CAPACITY,COMPOST_N,COMPOST_P,COMPOST_K,COMPOST_PRICE
KAMEOKA_NANSO,35.01922705,135.5336922,COMPOST,CATTLE,206,,0.007497,0.018522,0.018522,3.33
KAMEOKA_AGRI,35.0482585,135.5614251,COMPOST,CATTLE,206,,0.011661,0.011661,0.015717,7.04
KAMEOKA_AGRI,35.0482585,135.5614251,COMPOST,DAIRY,206,,0.011661,0.011661,0.015717,7.04
NANTAN_MIYAMA,35.28015561,135.5261901,COMPOST,DAIRY,213,,0.004455,0.002376,0.008019,1.5
NANTAN_YAGI,35.09568984,135.5385013,COMPOST,CATTLE,213,,0.01806,0.033712,0.013244,0
NANTAN_YAGI,35.09568984,135.5385013,COMPOST,DAIRY,213,,0.01806,0.033712,0.013244,0
NANTAN_YAGI,35.09568984,135.5385013,MWAD,DAIRY,213,14600000,,,,0
NANTAN_YAGI,35.09568984,135.5385013,MWAD,SWINE,213,990100,,,,0
KYOTANBA_YUKI,35.20233842,135.4459721,COMPOST,DAIRY,407,,0.005616,0.003744,0.00936,3
KYOTANBA_TORIBUCHI,35.20445145,135.4332995,COMPOST,DAIRY,407,,0.0085,0.009775,0.022525,0
KYOTANBA_MORISHITA,35.18134169,135.3701386,COMPOST,DAIRY,407,,0.00786,0.010218,0.013362,3.3
KYOTANBA_MASUTANI,35.26081626,135.4315771,COMPOST,CATTLE,407,,0.008757,0.018348,0.023352,1.25
AYABE_SHIRAHASE,35.32595189,135.243259,COMPOST,DAIRY,203,,0.015334,0.032759,0.069003,0.833
AYABE_MURAKAMI,35.32595189,135.243259,COMPOST,DAIRY,203,,0.012584,0.015444,0.028028,2.5
AYABE_KOBE,35.3593921,135.2116221,COMPOST,CATTLE,203,,0.019791,0.027121,0.032985,1
AYABE_BIGTREE,35.32969259,135.3738537,COMPOST,DAIRY,203,,0.006246,0.00347,0.009716,3
KYOTANGO_JERSEY,35.61604278,134.92299,COMPOST,DAIRY,212,,0.005248,0.004264,0.007544,2.5
KYOTANGO_TANABE,35.67165243,135.0741733,COMPOST,CATTLE,212,,0.007632,0.010176,0.016112,0
KYOTANGO_KAMODANI,35.6750596,135.0641168,COMPOST,CATTLE,212,,0.0054,0.0039,0.0129,2.5
FUSHIMI_NISHIDA,34.96744804,135.7123316,COMPOST,CHICKEN,109,,0.022944,0.070744,0.042064,13.3
JOYO_POULTRY,34.85854798,135.829225,COMPOST,CHICKEN,207,,0.023382,0.068414,0.044166,220
KAMEOKA_MIWA,34.96615243,135.4940896,COMPOST,CHICKEN,206,,0.036945,0.030377,0.027914,0
NANTAN_EIKOU,35.07079236,135.4687217,COMPOST,BROILER,213,,0.029082,0.03537,0.028296,0
KAMEOKA_YAMAMOTO,35.03221021,135.585652,COMPOST,BROILER,206,,0.017664,0.04416,0.030176,0
KYOTANBA_MIZUHO,35.18751758,135.3642047,COMPOST,CHICKEN,407,,0.019416,0.050967,0.038832,0
FUKUCHIYAMA_GFS,35.41883309,135.1673683,COMPOST,CHICKEN,201,,0.033841,0.037776,0.026758,0
MAIZURU_MIWA,35.49845881,135.4131119,COMPOST,CHICKEN,202,,0.038256,0.030286,0.029489,0
KYOTANGO_YOSHIOKA,35.67722839,135.0606417,COMPOST,BROILER,212,,0.038248,0.017075,0.025954,0
KAMEOKA_AGRI,35.0482585,135.5614251,COMPOST,SWINE,206,,0.02888,0.011552,0.011552,7.04
NANTAN_HIYOSHI,35.19731965,135.4528312,COMPOST,SWINE,213,,0.0179,0.020764,0.01074,1.65
KYOTANBA_HIYOSHI,35.20137527,135.3807734,COMPOST,SWINE,407,,0.0137,0.020276,0.012604,1.65
