DIST,SMALL,LARGE,TANKER
10,14330,20790,25860
20,16020,23430,29290
30,17710,26080,32710
40,19400,28720,36140
50,21090,31370,39570
60,22770,34010,43000
70,24460,36650,46430
80,26150,39300,49860
90,27840,41940,53290
100,29530,44590,56720
110,31220,47160,60040
120,32910,49730,63360
130,34600,52300,66690
140,36290,54870,70010
150,37980,57440,73330
160,39670,60010,76660
170,41360,62580,79980
180,43050,65150,83300
190,44740,67720,86620
200,46430,70290,89950
220,49800,75360,96500
240,53170,80430,103050
260,56540,85500,109600
280,59910,90570,116150
300,63280,95640,122700
320,66650,100710,129250
340,70020,105780,135800
360,73390,110850,142350
380,76760,115920,148900
400,80130,120990,155450
420,83500,126060,162000
440,86870,131130,168550
460,90240,136200,175100
480,93610,141270,181650
500,96980,146340,188200
550,105410,159010,204570
600,113840,171680,220940
650,122270,184350,237310
700,130700,197020,253680
750,139130,209690,270050
800,147560,222360,286420
850,155990,235030,302790
900,164420,247700,319160
950,172850,260370,335530
1000,181280,273040,351900
